id,z1,z2
1,-2.715368459,-2.852575
2,-2.965724374,-2.972305
3,-3.594309649,-2.784601
4,-3.612472514,-2.634519
5,-3.389105487,-1.946713
6,-2.850036831,-2.12852
7,-2.824209823,-1.003329
8,-3.495495075,-0.996207
9,-3.362229478,-1.462905
10,-3.413725659,-1.789746
11,-3.192338949,-2.120739
12,-3.044014307,-2.571842
13,-2.033452719,-2.191278
14,0.047709424,-2.394238
15,-0.150046915,-2.645988
16,1.173897373,-2.261807
17,0.950730073,-2.492047
18,1.085069638,-3.271829
19,-1.782423721,-2.364955
20,-2.152599974,-2.522978
21,-0.900575848,-1.811965
22,0.014255987,-2.255348
23,0.771301867,-2.949384
24,1.746918356,-1.389867
25,-1.313034408,-1.374067
26,-0.850046452,-0.790041
27,-0.53788415,-0.8608
28,2.206184913,-2.287225
29,1.854989485,-1.417699
30,1.930903342,-1.908839
31,1.174088416,-2.641918
32,1.961486074,-3.322806
33,1.92858434,-3.479194
34,2.117963804,-3.555427
35,1.905534812,-3.547446
36,2.270595987,-3.313161
37,2.127439139,-4.667648
38,1.387250921,-3.413936
39,0.614809489,-3.864488
40,0.845475425,-3.501949
41,0.471764975,-1.76869
42,0.943971421,-2.189763
43,1.14409663,-2.316926
44,0.90827631,-2.027421
45,0.602370894,-1.955709
46,-0.181365875,-2.906411
47,-0.621874806,-2.983508
48,-1.45104826,-3.95605
49,-0.99112118,-3.485111
50,-0.099128622,-1.125796
51,-1.531660953,-0.855645
52,-4.342915379,-0.916084
53,-4.053545251,-1.604206
54,-4.315000317,-1.229978
55,-2.983612004,-2.425336
56,-2.90395861,-2.176678
57,-2.532755736,-2.083205
58,-4.318231252,-1.139424
59,-4.292441631,-1.30213
60,-3.878573088,-0.663488
61,-4.280767426,-1.678985
62,0.518492046,-3.785979
63,0.340779938,-3.602968
64,-2.218288526,-2.724518
65,-2.980585675,-2.36972
66,-3.361695149,-2.119493
67,-3.20878289,-1.645875
68,-2.302009797,-2.974231
69,-1.634661264,-3.162379
70,-3.309366223,-1.724468
71,-3.396440511,-1.468018
72,-3.069130566,-2.707706
73,-3.942064766,-2.178245
74,-4.280250401,-2.623593
75,-1.367905133,-1.689675
76,-2.740753376,-2.287037
77,-3.012191666,-3.179825
78,-2.445926778,-2.255232
79,-1.108430661,-2.317034
80,-1.228504939,-2.46744
81,-0.456380375,-1.257473
82,0.223213036,-1.366889
83,1.804698985,-1.199486
84,1.666680632,-1.526775
85,1.638096896,-1.410874
86,1.352983114,-0.476003
87,1.058812036,-0.686383
88,0.972104832,-0.595957
89,0.649993969,-0.624509
90,-0.36027352,-1.429455
91,-0.457822201,-1.561811
92,-1.050094472,-2.111245
93,-1.255572508,-2.420732
94,0.946740117,-2.749683
95,-0.001791513,-1.417258
96,-0.393452096,-2.113474
97,-1.71357371,-2.384443
98,-1.716650496,-1.666449
99,-1.432944342,-2.579702
100,-1.50728097,-4.021268
101,0.086845806,-1.520066
102,-0.351394513,-1.579663
103,-0.858020489,-1.599807
104,-1.558224926,-2.547742
105,-1.666288873,-3.1485
106,-2.589799499,-2.23585
107,-2.761383148,-1.133528
108,-1.991885283,-2.081684
109,-2.24889255,-2.077811
110,-1.579193528,-1.950108
111,-1.836801905,-2.763588
112,-1.519412965,-2.610256
113,-1.238966248,-3.200311
114,0.088025141,-3.451991
115,-0.537690078,-2.671402
116,-0.379580848,-2.579914
117,0.412697096,-2.679488
118,2.496128613,-2.960198
119,-2.806233514,-2.931889
120,-2.949983298,-2.78548
121,-2.327809826,-2.392174
122,-1.379642135,-3.527895
123,-0.956165604,-4.117031
124,-0.710303802,-2.848224
125,-1.353962804,-2.748998
126,-0.893023342,-2.453848
127,0.158338696,-2.713554
128,1.29220101,-2.334751
129,1.469436184,-2.764049
130,1.389766087,-2.147065
131,2.1799814,-4.48005
132,2.485107995,-2.95129
133,3.279379225,-3.501483
134,3.513392821,-3.779258
135,3.379356822,-3.617476
136,3.174087487,-4.437138
137,2.506416603,-4.380512
138,2.710250675,-4.441897
139,3.113669587,-4.481915
140,1.637959472,-3.412466
141,1.176812239,-3.08064
142,1.092878709,-3.044819
143,0.391816712,-3.222354
144,0.081754748,-3.425356
145,1.964729533,-3.2988
146,1.891621006,-3.660359
147,-0.189586346,-3.130325
148,-0.546572081,-3.30171
149,-4.766177186,-1.171783
150,-3.273775729,-2.456069
151,-4.392017717,-1.487322
152,-2.730081333,-1.130417
153,-1.969386982,-1.993316
154,-2.032492802,-1.952176
155,-3.192888388,-1.922245
156,-2.250460641,-1.697838
157,-1.432206506,-1.996848
158,-1.166385696,-2.174145
159,-0.025906318,-2.083171
160,0.929580073,-2.53988
161,0.067663222,-2.445821
162,0.536629784,-2.612417
163,0.815343616,-2.729687
164,0.748454303,-1.925984
165,0.779326388,-2.188915
166,-1.676145089,-1.24975
167,-1.748132522,-1.192137
168,-0.066478687,-1.328559
169,0.458562969,-2.299878
170,0.546610762,-1.854285
171,0.451751763,-1.272531
172,0.208601654,-1.338261
173,-0.049543396,-1.406576
174,0.15443541,-1.626745
175,0.820314138,-1.950558
176,0.713840234,-2.340664
177,0.796383029,-1.967185
178,0.504558929,-2.119569
179,0.647779273,-2.127494
180,0.819177854,-2.140702
181,0.313126528,-2.359933
182,0.243916595,-2.145333
183,0.628387462,-2.106408
184,-0.130826336,-1.030173
185,-0.46137209,-1.503784
186,-0.555008503,-1.125832
187,-0.397779228,-0.807853
188,-0.709098812,-1.784458
189,-1.126655438,-0.991636
190,-1.833404909,-1.049339
191,-1.961778802,-0.613834
192,0.862891882,-0.717743
193,0.739333517,-0.651236
194,0.919496383,-1.003829
195,0.520589891,0.671256
196,-0.615312325,-1.0212
197,0.023587468,-0.763083
198,0.025909315,-1.571545
199,-0.564555082,0.352994
