"id_train","x","y","z"
1,0.137118,0.503395,-0.602351
2,0.361395,0.605035,-1.014509
3,0.212757,0.103227,-2.526937
4,0.645487,0.149203,-0.609651
5,0.869581,0.839658,-1.645358
6,0.156405,0.964675,-0.816949
7,0.476936,0.721309,0.321828
8,0.874266,0.345571,-2.647861
9,0.168276,0.831968,-0.510712
10,0.935882,0.341039,-3.836081
11,0.277165,0.163073,0.508297
12,0.455924,0.573709,0.36203
13,0.21648,0.522545,0.103285
14,0.953399,0.871122,-1.616984
15,0.136141,0.273304,-3.19733
16,0.148669,0.363104,0.722805
17,0.701717,0.028931,0.274243
18,0.745541,0.761501,0.370424
19,0.446174,0.093034,2.531949
20,0.72932,0.158938,-0.317041
21,0.197742,0.736492,-1.550884
22,0.813275,0.800015,-0.646479
23,0.436622,0.012238,4.105596
24,0.004746,0.344411,-3.657807
25,0.66923,0.824018,0.205987
26,0.243397,0.229938,1.030357
27,0.960174,0.515892,-2.044261
28,0.557275,0.227909,-2.054372
29,0.016281,0.632303,-4.439235
30,0.607828,0.146838,0.750785
31,0.020249,0.011521,-2.266398
32,0.170947,0.286687,-0.835253
33,0.352499,0.931884,-0.419672
34,0.126665,0.503563,-1.798904
35,0.790234,0.766995,-0.31704
36,0.45034,0.546181,-0.269265
37,0.65066,0.542123,0.333021
38,0.7393,0.414008,-1.074742
39,0.655207,0.615869,1.090593
40,0.200046,0.239094,-0.335676
41,0.979156,0.019684,1.899042
42,0.446952,0.358038,-0.39835
43,0.741787,0.286061,-1.710855
44,0.278782,0.158602,0.674397
45,0.869169,0.666148,-1.310845
46,0.48307,0.100191,2.070344
47,0.570565,0.100481,-0.439678
48,0.477958,0.266331,0.099137
49,0.144427,0.307225,-0.765612
50,0.14728,0.811902,-0.426932
51,0.405524,0.846815,-0.706008
52,0.847532,0.329397,-2.269085
53,0.827314,0.772412,-0.690711
54,0.632883,0.898528,-0.200631
55,0.651331,0.56846,0.441638
56,0.7458,0.675746,1.006164
57,0.386847,0.780179,-0.366394
58,0.822736,0.073304,0.218564
59,0.064836,0.405127,-3.238442
60,0.589212,0.005386,-1.148033
61,0.153597,0.274128,-2.308239
62,0.163409,0.279179,-1.590354
63,0.330861,0.438956,0.859423
64,0.676677,0.823865,0.229325
65,0.824979,0.151858,0.586266
66,0.178531,0.298528,-0.100031
67,0.84062,0.61442,-0.507767
68,0.651423,0.567224,0.363543
69,0.735821,0.325383,-1.4509
70,0.762692,0.165606,0.469695
71,0.838392,0.748013,-0.825134
72,0.165469,0.379232,1.216069
73,0.799313,0.007004,-1.749407
74,0.449989,0.56965,0.306979
75,0.957763,0.653864,-1.336174
76,0.702724,0.370016,-1.681012
77,0.970809,0.785122,-1.343359
78,0.654398,0.467872,-0.431816
79,0.992218,0.221775,-2.524879
80,0.904051,0.942168,-2.187369
81,0.937957,0.617838,-1.476874
82,0.635111,0.515801,-0.10422
83,0.843442,0.53373,-0.718372
84,0.785916,0.284886,-2.167933
85,0.647822,0.878492,-0.105676
86,0.789242,0.347585,-1.459388
87,0.593973,0.917433,-0.81361
88,0.948821,0.177478,-1.398727
89,0.743862,0.092226,-0.575061
90,0.323812,0.767514,-0.045702
91,0.517967,0.953124,-0.685121
92,0.65539,0.498848,-0.380715
93,0.611414,0.421759,-0.65028
94,0.838163,0.397879,-1.823126
95,0.017014,0.841825,-2.70394
96,0.203021,0.260655,0.822472
97,0.885603,0.507179,-2.02489
98,0.068101,0.601556,-3.295783
99,0.566995,0.0963,-0.244112
100,0.601999,0.786786,0.535974
101,0.853788,0.119081,0.86061
102,0.07451,0.008911,-2.634778
103,0.351751,0.216144,1.331212
104,0.812436,0.493706,-0.955419
105,0.73904,0.169467,-0.258251
106,0.680507,0.405554,-1.193743
107,0.412909,0.942596,-0.772932
108,0.213993,0.288533,1.494683
109,0.512352,0.075227,1.127467
110,0.712261,0.625742,1.254242
111,0.767895,0.256397,-2.334252
112,0.307088,0.035325,1.753615
113,0.351369,0.58822,-1.041668
114,0.040574,0.65771,-2.480864
115,0.262791,0.9364,-0.455146
116,0.226474,0.543801,-0.278039
117,0.059464,0.925551,-2.003584
118,0.761105,0.440436,-0.924615
119,0.783719,0.006714,-1.292156
120,0.034379,0.912016,-2.614046
121,0.752163,0.092012,-0.285748
122,0.968917,0.779736,-1.293996
123,0.276967,0.789883,-0.455834
124,0.701747,0.69546,1.725148
125,0.246952,0.713329,-0.309285
126,0.361685,0.266911,-0.732816
127,0.960266,0.307774,-3.673898
128,0.201495,0.877775,-0.991397
129,0.228901,0.046784,0.699311
130,0.332052,0.651469,-0.784511
131,0.978302,0.570062,-1.662049
132,0.078019,0.74609,-2.688891
133,0.778256,0.078218,0.381512
134,0.074449,0.866804,-0.850785
135,0.36733,0.114168,4.082962
136,0.677043,0.675547,1.534172
137,0.705425,0.792691,0.236402
138,0.546273,0.040482,0.276534
139,0.103685,0.809918,-0.406377
140,0.518822,0.606821,1.349729
141,0.19292,0.759518,-1.210984
142,0.726436,0.055085,-0.222559
143,0.103243,0.737026,-2.155032
144,0.704906,0.601251,1.065534
145,0.361791,0.335302,-0.436384
146,0.055787,0.951492,-1.591933
147,0.762646,0.934401,-1.762164
148,0.342855,0.392081,0.829277
149,0.844144,0.852445,-1.627251
150,0.109392,0.752941,-2.546749
151,0.527489,0.716899,0.597158
152,0.019379,0.850874,-2.744784
153,0.992325,0.444007,-2.71727
154,0.903395,0.601144,-1.503716
155,0.508888,0.724971,0.239808
156,0.815335,0.635935,-0.16791
157,0.08954,0.593759,-2.055866
158,0.007309,0.379431,-4.246341
159,0.292851,0.04892,0.969791
160,0.410513,0.11426,3.711271
161,0.537255,0.279194,-0.345483
162,0.593652,0.188006,-1.077161
163,0.445792,0.776745,-0.19577
164,0.81593,0.964004,-2.028619
165,0.739178,0.579004,0.944094
166,0.980346,0.630259,-1.049402
167,0.12755,0.061372,-0.937139
168,0.578134,0.497612,-0.597491
169,0.469184,0.2822,0.10833
170,0.519814,0.431174,-0.378081
171,0.52958,0.915648,-0.407694
172,0.295766,0.527687,-0.765784
173,0.917159,0.191562,-1.482419
174,0.873365,0.881682,-1.816746
175,0.532647,0.575235,1.019491
176,0.579446,0.301732,-0.772397
177,0.569665,0.568902,0.934792
178,0.875013,0.348135,-2.579237
