id,z1,z2
1,0.044498627,1.278874
2,0.064042746,1.693839
3,-0.361625436,1.163419
4,0.73933416,0.711424
5,0.140250485,1.334817
6,0.19625192,1.560138
7,0.479993746,1.58549
8,-0.15360762,1.62699
9,1.376278904,0.752642
10,1.40668217,0.80669
11,1.459129711,0.943362
12,2.547011395,0.869678
13,0.713438001,0.509928
14,1.98172163,-0.051586
15,2.845965435,-0.504479
16,2.329277341,0.735749
17,2.692972432,1.506709
18,2.68431655,1.35633
19,1.914389951,1.176905
20,2.275115229,1.322903
21,2.509290083,1.678272
22,2.201092934,2.022344
23,2.040460339,2.252983
24,1.683360072,2.540992
25,2.675544317,2.265082
26,2.737079096,1.658567
27,2.563091523,2.90545
28,2.55269278,2.481592
29,2.215312998,2.836175
30,2.083590111,2.641028
31,1.53565191,3.751047
32,1.848120384,3.73075
33,0.168985869,3.581656
34,2.745086245,1.869684
35,1.085608545,1.354331
36,2.100496091,1.85139
37,1.079816342,3.247453
38,1.441717418,2.20793
39,1.137988544,2.454825
40,0.434288517,2.50316
41,0.311727075,3.388325
42,0.567865271,3.833186
43,1.377676412,4.216425
44,2.171412558,4.308669
45,2.008593229,4.277156
46,1.835732861,-0.403962
47,2.015330194,-0.429001
48,2.264708266,0.415813
49,2.067482264,0.397258
50,1.536514128,-1.640419
51,1.392703218,-1.375933
52,2.437722601,-0.076619
53,2.294689876,0.349233
54,1.733995944,-0.697111
55,1.390222973,-0.515335
56,1.836510004,1.377388
57,1.726014136,1.482631
58,1.349047321,1.705636
59,1.224146889,1.50835
60,-0.022805919,1.372254
61,1.537827528,-1.938733
62,0.947947774,-1.49763
63,1.320928366,-1.323336
64,1.152822327,-0.505138
65,0.172802958,-0.390744
66,0.993278836,-1.280891
67,1.518756399,-2.274666
68,0.897593278,-2.116274
69,0.328565491,-1.581763
70,-0.77545232,-1.346881
71,-0.369861617,-1.503932
72,0.496197944,-0.231783
73,0.461441247,-0.036001
74,-0.820931404,0.784743
75,-0.932442278,0.026587
76,-1.012846446,-0.225968
77,0.783828354,-0.174953
78,-0.096029913,2.004162
79,-0.686376543,2.422646
80,-0.565294102,1.288736
81,0.113706886,1.044441
82,-0.148050468,1.098286
83,-0.847161709,1.301811
84,-1.168874277,1.727938
85,0.524789249,3.276474
86,-0.838259925,2.087186
87,-0.688866563,2.384535
88,-0.192942321,3.008486
89,-0.182078473,2.905045
90,0.969504012,0.897476
91,-0.520027376,0.865877
92,-0.624279235,1.062189
93,-0.363720394,-0.202172
94,-0.378512956,0.555849
95,-1.138347508,-0.375806
96,-0.181762605,-0.029628
97,-0.768480326,0.615668
98,-0.435537083,0.491725
99,-0.269315566,0.720833
100,1.214138245,1.810592
101,1.242421189,0.733925
102,1.587335046,1.488908
103,0.801411324,0.482384
104,1.111410853,2.161019
105,2.797429892,2.211752
106,0.7464062,3.750478
107,0.951690572,4.046176
108,0.115418888,4.434561
109,0.772659488,4.479759
110,0.466232626,4.566729
111,-0.211536888,4.692442
112,-0.769978948,4.288657
113,-0.057241641,4.242508
114,0.181621375,4.627533
115,-0.343326873,4.581473
116,-0.511814952,4.709241
117,-0.316457178,5.036258
118,-0.882954611,4.871526
119,-0.018246018,4.92203
120,-0.718058575,4.416463
121,-1.090704982,4.309837
122,-0.742298731,4.25161
123,-0.92414477,4.193893
124,-0.431787808,3.945759
125,-0.14162199,3.832333
126,-0.419182903,3.89992
127,-0.775653402,3.560938
128,-0.711788552,3.769599
129,1.634269447,4.179027
130,1.245437792,3.921042
131,2.895545398,4.445522
132,-0.046020447,4.663936
133,1.319930608,3.80919
134,1.344256371,4.202713
135,1.844527474,4.649788
136,2.428974382,3.173114
137,3.001353587,2.021181
138,3.617477997,1.888959
139,3.358707795,1.573803
140,4.154506703,3.444365
141,4.304801013,1.620124
142,3.056351837,4.204501
143,4.038390611,2.943152
144,3.808111783,3.857588
145,3.991314353,1.948257
146,4.050734455,2.244937
147,3.711333019,1.823045
148,3.635815123,2.699693
149,3.883150488,2.274362
150,2.95150127,3.380888
151,1.04557448,2.933988
152,1.246726841,2.806119
153,0.549039217,2.831363
154,2.023572409,2.505369
155,3.356707023,3.198405
156,1.646297179,2.774353
157,2.827019539,3.715983
158,3.314607581,3.656992
159,3.326530839,2.775572
160,3.593900803,3.087158
161,3.888933013,2.83401
162,1.347653225,2.601495
163,3.314169258,2.767287
164,3.743514058,2.632586
165,2.620154544,2.649166
166,3.533411505,2.815806
167,3.909543992,2.603751
168,4.57016046,2.612658
169,5.187365646,3.088142
170,4.322359915,3.159238
171,4.045767023,3.098364
172,4.637791682,3.320397
173,4.454524567,3.778221
174,4.739538789,2.379317
175,4.406817975,2.563936
