id,z1,z2,z3,z4,z5,z6
1,-1.207044,-2.256807,-0.696887,-2.006561,-0.696887,-2.006561
2,-1.099008,-2.226029,-0.754134,-2.156957,-0.754134,-2.156957
3,-1.193356,-2.249172,-0.235633,-2.518385,-0.235633,-2.518385
4,-1.336965,-2.301752,-0.685045,-0.527924,-0.685045,-0.527924
5,-1.016077,-2.621157,-0.181038,-1.626778,-0.181038,-1.626778
6,-2.276407,-2.846554,-0.606208,-1.767896,-0.606208,-1.767896
7,-2.585852,-2.924139,-1.028252,-1.330129,-1.028252,-1.330129
8,-2.562081,-2.909093,-0.769511,-0.800655,-0.769511,-0.800655
9,-2.247386,-2.817817,-0.455238,-0.069396,-0.455238,-0.069396
10,-2.675664,-2.620005,-0.711368,0.045031,-0.711368,0.045031
11,-2.459542,-2.573503,-0.516913,-0.808559,-0.516913,-0.808559
12,-2.152049,-2.299804,-1.04985,-1.291926,-1.04985,-1.291926
13,-2.149052,-2.63599,-0.293412,-2.29295,-0.293412,-2.29295
14,-2.207517,-2.512313,-0.654934,-1.089941,-0.654934,-1.089941
15,-2.03375,-2.824685,-0.281877,-1.169724,-0.281877,-1.169724
16,-1.917086,-2.785521,-0.557397,-0.894732,-0.557397,-0.894732
17,-2.150045,-2.736382,-1.082019,-0.72562,-1.082019,-0.72562
18,-1.563616,-2.443097,-0.608305,-0.318551,-0.608305,-0.318551
19,-1.28216,-2.315107,-0.615186,-1.359585,-0.615186,-1.359585
20,-0.785578,-2.376392,-0.175379,-0.944424,-0.175379,-0.944424
21,-1.184373,-2.411154,-1.09391,-1.078386,-1.09391,-1.078386
22,-0.953846,-2.248671,-0.635866,-1.433422,-0.635866,-1.433422
23,-1.404585,-2.161887,-0.765248,-1.351687,-0.765248,-1.351687
24,-1.546589,-1.96962,-1.279919,0.257487,-1.279919,0.257487
25,-1.239525,-1.830939,-0.649479,-1.097844,-0.649479,-1.097844
26,-1.020574,-1.755845,-0.793636,-1.957845,-0.793636,-1.957845
27,-0.894817,-2.128034,-0.831017,-0.961553,-0.831017,-0.961553
28,-0.550165,-1.901614,-0.280135,-1.238897,-0.280135,-1.238897
29,-0.663187,-2.091381,0.188346,-0.544283,0.188346,-0.544283
30,-0.309228,-1.866604,-0.066857,-0.889527,-0.066857,-0.889527
31,-1.87274,-2.157208,-0.744929,-1.458698,-0.744929,-1.458698
32,-2.013258,-2.237162,-0.931514,-0.831413,-0.931514,-0.831413
33,-1.043585,-2.067823,0.038141,-1.930555,0.038141,-1.930555
34,-1.382401,-2.002144,-0.364023,-1.000281,-0.364023,-1.000281
35,-0.991832,-1.600034,-0.925162,-0.665076,-0.925162,-0.665076
36,-0.884061,-1.625335,-0.647526,-1.977697,-0.647526,-1.977697
37,-1.035766,-1.651788,-0.539929,-0.565829,-0.539929,-0.565829
38,-1.245237,-1.667679,-0.360861,-0.782613,-0.360861,-0.782613
39,-0.974339,-1.353581,-1.100447,-2.342641,-1.100447,-2.342641
40,-0.875973,-1.767619,-0.599324,-0.932629,-0.599324,-0.932629
41,-0.378478,-1.506717,-0.64079,0.148981,-0.64079,0.148981
42,-0.658221,-1.510228,-0.685409,-0.191236,-0.685409,-0.191236
43,-1.114683,-1.941741,-0.781414,-1.190702,-0.781414,-1.190702
44,-0.892912,-1.79283,-0.249404,0.066599,-0.249404,0.066599
45,-1.104967,-1.664833,-1.113006,-0.750783,-1.113006,-0.750783
46,-0.702464,-1.678684,-0.554877,-1.671227,-0.554877,-1.671227
47,-1.041165,-1.284101,-1.143025,-1.61677,-1.143025,-1.61677
48,-0.015273,-1.185332,-0.575883,-0.548744,-0.575883,-0.548744
49,-0.390761,-1.044215,-0.276484,-1.717495,-0.276484,-1.717495
50,-0.236571,-0.872542,-0.629087,-1.089766,-0.629087,-1.089766
51,-2.118303,-2.816892,-0.566399,-0.300986,-0.566399,-0.300986
52,-2.366761,-2.83706,-0.68951,-0.403503,-0.68951,-0.403503
53,-1.389423,-2.52657,0.297905,-0.723076,0.297905,-0.723076
54,-1.83029,-2.506711,-0.35429,0.178505,-0.35429,0.178505
55,-0.856716,-2.103906,-0.571948,-1.579808,-0.571948,-1.579808
56,-0.139481,-1.968349,0.334511,-0.755097,0.334511,-0.755097
57,-0.730372,-1.854808,-0.444322,-1.746347,-0.444322,-1.746347
58,-0.010997,-1.465624,-0.17226,-0.498957,-0.17226,-0.498957
59,-1.187438,-2.206997,-0.199663,-1.898403,-0.199663,-1.898403
60,-0.039973,-1.657558,0.096647,-1.680336,0.096647,-1.680336
61,0.31312,-1.571343,0.453213,-1.451445,0.453213,-1.451445
62,0.201423,-1.582459,0.198025,-1.673129,0.198025,-1.673129
63,0.589801,-0.949427,-0.651317,-0.1808,-0.651317,-0.1808
64,0.968872,-0.865672,-0.142767,-1.817349,-0.142767,-1.817349
65,0.481364,-0.846989,-0.313474,-0.836616,-0.313474,-0.836616
66,-0.001656,-1.31036,0.180826,0.331789,0.180826,0.331789
67,-0.872022,-2.072716,-0.009096,-1.751336,-0.009096,-1.751336
68,-1.194668,-2.048766,-0.228291,-0.520623,-0.228291,-0.520623
69,-1.276268,-1.89804,-0.95412,-1.219348,-0.95412,-1.219348
70,-1.025113,-1.55268,-0.595412,-0.103808,-0.595412,-0.103808
71,0.116536,-0.813291,-0.400638,-1.172162,-0.400638,-1.172162
72,0.370079,-0.684667,0.060251,-1.055545,0.060251,-1.055545
73,0.02984,-0.905,-0.644467,-0.611565,-0.644467,-0.611565
74,0.699927,-0.691697,-0.58117,-0.85452,-0.58117,-0.85452
75,0.844231,-0.590987,-0.991025,-0.605475,-0.991025,-0.605475
76,0.788479,-0.580661,-0.460512,-0.822875,-0.460512,-0.822875
77,1.031282,-0.591606,-0.384801,-2.355355,-0.384801,-2.355355
78,1.523158,-0.369094,-0.391319,-2.896263,-0.391319,-2.896263
79,0.854915,-0.699698,0.267823,0.104214,0.267823,0.104214
80,1.124111,-0.487217,-0.194149,-0.709805,-0.194149,-0.709805
81,1.101201,-0.508877,-0.041184,-1.065064,-0.041184,-1.065064
82,0.339246,-0.78852,-0.292633,-1.577374,-0.292633,-1.577374
83,-1.015266,-1.2481,-0.501105,-0.185785,-0.501105,-0.185785
84,1.134463,-0.547086,0.254563,-1.498463,0.254563,-1.498463
85,0.932178,-0.401232,-0.576753,-0.684743,-0.576753,-0.684743
86,1.278013,-0.354093,0.163918,-0.806688,0.163918,-0.806688
87,1.249053,-0.298777,0.223588,-1.894093,0.223588,-1.894093
88,0.70935,-0.5334,-0.003354,-0.682394,-0.003354,-0.682394
89,-0.203781,-0.816355,-0.588445,-1.306939,-0.588445,-1.306939
90,0.172331,-0.379033,-0.848545,-1.455829,-0.848545,-1.455829
91,0.73679,-0.433505,-0.238859,-0.858552,-0.238859,-0.858552
92,-1.041412,-1.458433,-0.469966,-0.220291,-0.469966,-0.220291
93,-1.244859,-1.468161,-0.965612,-1.707756,-0.965612,-1.707756
94,-1.022548,-1.44363,-0.630838,-1.122218,-0.630838,-1.122218
95,-1.850438,-1.455554,-1.222355,-2.510113,-1.222355,-2.510113
