x,y,z1,z2
0.211765,0.099413,0.143092,-0.452498
0.656794,0.125139,-0.666658,-1.168398
0.585595,0.240375,-0.619518,-1.029352
0.982177,0.234363,0.115978,-0.630592
0.186679,0.123766,-0.368384,-1.079424
0.860121,0.358297,0.269274,-0.5498
0.882902,0.348241,-0.550553,-0.085469
0.594995,0.34229,-0.695265,-1.61278
0.262928,0.166644,-0.072234,-1.411966
0.727398,0.219303,-0.508259,-0.017723
0.12842,0.271778,-0.120583,-1.138873
0.131518,0.374823,0.344912,-1.234754
0.705928,0.020981,-0.698506,-0.928598
0.458747,0.411948,0.145832,-1.15803
0.443244,0.090745,-0.845455,-1.012938
0.733501,0.169253,-0.193487,-0.66355
0.622339,0.159091,-0.408518,-1.205224
0.426856,0.014374,-0.323801,-2.189758
0.05539,0.338125,0.045688,-1.708154
0.894041,0.447074,0.072375,0.961754
0.377386,0.469215,0.772549,-1.632894
0.242283,0.225803,-0.04714,0.057983
0.232395,0.414664,0.366059,-0.142976
0.543313,0.235859,-0.342968,-0.940083
0.613169,0.141176,-0.803307,-1.039908
0.589441,0.404868,0.143287,-0.472475
0.019654,0.009995,-1.084388,-1.450599
0.156725,0.282704,0.211943,-0.011793
0.629191,0.348226,-0.231253,-0.843071
0.265309,0.102312,0.19684,-1.554179
0.713512,0.494926,0.157609,-0.469323
0.521233,0.164355,-0.912769,-0.792837
0.465232,0.14905,-0.235346,-1.240714
0.711269,0.4056,-0.590652,-0.573547
0.740841,0.421118,0.026139,-0.404525
0.48835,0.196429,-0.78509,-2.391605
0.215778,0.233082,0.073497,-1.142612
0.969238,0.02565,-0.031539,-0.144401
0.449683,0.358419,0.130939,-0.565794
0.73576,0.291554,-0.824771,-0.333076
0.260975,0.164904,-0.167145,-0.059184
0.282704,0.325765,0.587606,-0.729099
0.466377,0.121263,-0.419847,-1.106689
0.576608,0.095796,-0.751054,-0.976145
0.471321,0.269963,-0.341292,-1.210992
0.142336,0.297658,0.173871,-1.052315
0.213794,0.205676,-0.26915,-0.772847
0.857496,0.335836,-0.051539,-0.096352
0.87451,0.440421,-0.417292,-0.338174
0.685725,0.452125,0.141398,-0.624842
0.62005,0.13991,-0.70761,-1.281955
0.676967,0.013519,-0.698445,-0.985271
0.393927,0.24097,-0.429,-1.7004
0.152346,0.351247,-0.090611,-0.083558
0.171649,0.168032,-0.167011,-1.316266
0.761852,0.470542,0.590295,0.190507
0.827314,0.071275,-0.15823,-1.215879
0.066636,0.393042,0.117035,-1.465326
0.585138,0.011032,-0.055855,-1.189645
