id,z1,z2,z3,z4,z5,z6
1,-1.563494,-2.39016,-0.229405,-0.411237,-0.451369,-0.955069
2,-1.08863,-2.340517,-0.226687,-1.456777,-0.457151,-1.792588
3,-1.175496,-2.350825,-0.61193,-0.50672,-0.738201,-1.043144
4,-2.022395,-2.650164,-0.789114,-1.980284,-0.869054,-2.245229
5,-2.026309,-2.606168,-0.001508,-1.276151,-0.295328,-1.692118
6,-2.496582,-2.681985,-0.768846,0.235915,-0.859101,-0.496182
7,-2.266268,-2.694651,-0.505081,-1.738518,-0.652797,-2.051781
8,-2.150436,-2.667941,-0.667705,-1.358886,-0.771585,-1.752406
9,-2.486507,-2.79614,-0.290435,-0.300538,-0.468597,-0.918432
10,-2.444956,-2.794987,-0.678096,-2.629997,-0.753322,-2.757344
11,-3.054918,-2.942647,-0.478125,0.030543,-0.58959,-0.655635
12,-2.52436,-2.588907,-1.109181,-0.486179,-1.106346,-1.065229
13,-1.913533,-2.526869,0.00328,-1.077361,-0.283047,-1.515582
14,-2.083512,-2.503918,-0.630198,-1.516214,-0.764154,-1.868429
15,-1.619065,-2.374416,-0.147352,-1.227853,-0.384439,-1.635093
16,-1.677428,-2.22053,-0.893642,-0.972947,-0.915439,-1.428197
17,-1.383415,-2.066332,-0.665653,-2.008012,-0.741986,-2.242385
18,-2.105455,-2.693628,0.134437,-0.992307,-0.150898,-1.437684
19,-2.095459,-2.621646,-0.302327,-2.102052,-0.502281,-2.331631
20,-1.853234,-2.55174,-0.198504,-0.914314,-0.406283,-1.384782
21,-1.742221,-2.473541,-0.334111,-1.159092,-0.502007,-1.577983
22,-1.848023,-2.324192,-0.927494,-1.452366,-0.953115,-1.800703
23,-1.737707,-2.389605,-0.440764,-0.654231,-0.579786,-1.165948
24,-1.557368,-2.064569,-0.874854,-1.446589,-0.9008,-1.792541
25,-1.644273,-2.375962,-0.441244,-0.571519,-0.587374,-1.098867
26,-2.862848,-2.989813,-0.945464,-0.669888,-0.94296,-1.209158
27,-2.749263,-2.943501,-0.593767,-0.573286,-0.663033,-1.124983
28,-2.690909,-2.924612,-0.916872,-1.335231,-0.889451,-1.718454
29,-3.153192,-3.02257,-0.546945,-0.725214,-0.612616,-1.238776
30,-2.457484,-2.860872,-0.422132,-0.308963,-0.517992,-0.898296
31,-2.572894,-2.892883,-0.576971,-1.050629,-0.630769,-1.481876
32,-2.610146,-2.855842,-1.19327,-2.354296,-1.08742,-2.512485
33,-2.282388,-2.758314,-0.608093,-1.477391,-0.663326,-1.820127
34,-1.724053,-2.682161,-0.094114,-1.98323,-0.27901,-2.225361
35,-1.831492,-2.697158,-0.710661,0.138022,-0.743577,-0.547964
36,-1.854141,-2.622813,-0.56232,-0.632053,-0.610202,-1.150815
37,-2.089231,-2.739959,-0.687646,-1.823533,-0.701586,-2.091681
38,-1.857405,-2.573625,-0.90164,-1.296118,-0.856089,-1.671778
39,-2.10664,-2.659848,-0.447769,-0.754719,-0.511218,-1.23413
40,-2.05661,-2.612459,-0.561045,-0.268427,-0.598965,-0.851848
41,-2.28492,-2.550415,-0.257254,-0.191059,-0.426622,-0.80152
42,-2.381961,-2.402928,-0.805434,-0.54027,-0.817718,-1.074303
43,-1.58364,-2.218479,-0.530785,-0.744348,-0.60672,-1.233559
44,-2.346091,-2.227384,-1.028729,-0.669023,-0.969108,-1.174516
45,-1.830652,-2.161217,-0.601062,-0.849274,-0.657377,-1.31702
46,-1.811582,-2.358897,-0.753706,-0.394562,-0.761328,-0.943137
47,-1.292559,-2.199172,-0.385381,-1.234316,-0.481391,-1.600173
48,-0.861845,-1.954969,-0.351836,-0.153267,-0.476444,-0.737152
49,-0.473709,-1.54924,-0.362217,-0.558985,-0.519965,-1.091477
50,-0.140906,-1.398646,-0.338442,-0.640685,-0.505706,-1.154652
51,-0.373067,-1.478715,-0.783682,-0.798335,-0.847792,-1.274585
52,-0.935761,-1.883376,-0.008597,-1.403726,-0.261084,-1.749719
53,-0.968204,-1.772412,-0.826019,-1.129019,-0.860037,-1.528681
54,-0.005993,-1.496803,-0.27786,-0.4099,-0.458383,-0.941616
55,-0.036983,-1.40855,-0.090001,-0.488808,-0.311056,-0.987929
56,-1.066482,-1.772961,-0.985323,-0.271397,-0.976939,-0.841644
57,-1.242262,-2.010734,-0.335628,-1.170363,-0.47111,-1.540705
58,-1.46631,-1.979214,-0.667824,-0.930335,-0.735025,-1.35189
59,-1.054435,-1.765149,-0.746804,-1.564183,-0.804378,-1.857369
60,-0.369991,-1.062769,0.065315,-1.064506,-0.195189,-1.436219
61,0.078297,-0.897817,-0.571858,-0.769258,-0.66602,-1.185145
62,0.024773,-1.000278,-0.589136,-0.613964,-0.672346,-1.033348
63,0.669215,-0.743785,-0.438075,-0.844714,-0.59451,-1.210381
64,-0.128925,-1.007315,-0.657966,-1.851489,-0.722016,-2.007769
65,-0.034842,-1.177015,-0.547903,-0.863309,-0.648321,-1.2483
66,0.068304,-1.250139,0.076442,-0.384665,-0.187831,-0.866422
67,-0.058623,-1.071135,-0.603568,-1.069129,-0.681061,-1.382873
68,-1.209589,-1.898347,-0.050983,-1.127432,-0.252626,-1.494738
69,-1.49258,-1.866737,-0.393397,-2.081506,-0.521847,-2.254059
70,-1.141812,-1.720964,0.115192,-0.189482,-0.096216,-0.721086
71,-0.89155,-1.635369,-0.333977,-0.775039,-0.461517,-1.192547
72,-1.055703,-1.81971,0.03347,-0.671225,-0.177036,-1.134893
73,-1.064388,-1.806406,-0.612222,-0.969517,-0.673647,-1.36193
74,-1.160785,-1.708574,-0.400016,-0.495897,-0.484964,-0.987469
75,-1.162707,-1.536468,-0.680099,-0.223651,-0.743189,-0.764124
76,-0.710805,-1.392585,-0.558569,-0.913201,-0.644695,-1.300703
77,0.227293,-1.029281,-0.623032,-0.198565,-0.675802,-0.714386
78,0.28417,-1.138579,0.305248,-1.670947,0.020295,-1.869193
79,0.144891,-1.082295,-0.563516,-0.329313,-0.623706,-0.800865
80,-0.041109,-1.03212,-0.427579,0.092048,-0.513263,-0.463259
81,-0.111233,-1.031403,-0.435716,-1.655983,-0.567885,-1.890915
82,-0.301952,-1.375777,-0.609696,-1.568889,-0.658416,-1.79225
83,-0.15396,-1.217232,-0.749611,-1.037712,-0.771728,-1.387459
84,-0.186105,-1.097223,-0.653142,-1.589319,-0.67614,-1.795093
85,-1.435766,-2.471084,-0.206184,-0.556028,-0.335539,-1.089257
86,-2.277593,-2.554593,-1.219,-0.936595,-1.084657,-1.376304
87,-1.890024,-2.479906,-0.51092,-1.077542,-0.556202,-1.485834
88,-1.720535,-2.391565,-1.118845,-1.669511,-1.007958,-1.958636
89,-1.40184,-2.427326,-0.71927,-1.81155,-0.722575,-2.068877
90,-1.360422,-2.343515,-0.953196,-0.639374,-0.896294,-1.135072
91,-1.304446,-2.322989,-0.502901,-0.335887,-0.564081,-0.887263
92,-1.107788,-2.21171,-0.705524,-1.417156,-0.723572,-1.732944
93,-0.933466,-2.144534,-0.495267,-0.118284,-0.571245,-0.701942
94,-1.474468,-2.364559,0.174477,-1.094076,-0.077771,-1.472367
95,-1.567349,-2.383467,-0.331012,-2.572626,-0.455002,-2.636797
96,-1.248442,-2.259104,-0.472304,-1.259151,-0.583333,-1.592301
97,-1.476484,-2.374426,6.2E-05,-1.239689,-0.228212,-1.570881
98,-1.550001,-2.35135,-0.460757,-0.37154,-0.568964,-0.881581
99,-1.399866,-2.30872,-0.202352,-0.883755,-0.373238,-1.28422
100,-1.284737,-2.172437,-1.101425,-0.485331,-1.041142,-0.961753
101,-0.962471,-2.085984,-0.688924,-0.293017,-0.737928,-0.820585
102,-1.075286,-1.9567,-0.751096,-1.417393,-0.768348,-1.692683
103,-2.00614,-2.436712,-0.870051,0.643309,-0.908307,-0.113428
104,-1.208832,-2.288465,-0.167385,-2.069614,-0.312597,-2.235985
105,-0.922159,-2.18913,-0.230756,-1.450145,-0.362041,-1.744471
106,-0.711939,-2.082748,-0.470279,-1.242201,-0.551611,-1.574874
107,-0.541775,-1.885178,0.021332,-1.489594,-0.196422,-1.766536
108,-0.334049,-1.733675,-0.491258,-1.214904,-0.597976,-1.566635
109,-0.413776,-1.705032,-1.076566,-0.379556,-1.019482,-0.900547
110,-0.115393,-1.625894,-0.513763,0.037469,-0.597661,-0.568983
111,-0.695156,-1.786888,-0.858469,-1.009283,-0.844247,-1.385266
112,-0.64178,-1.724409,-0.257856,-0.615757,-0.401503,-1.065159
113,-0.375337,-1.611912,-0.36329,-1.120057,-0.486225,-1.462325
114,0.381513,-1.374753,0.326098,-1.540579,0.015371,-1.793224
115,-0.099002,-1.498086,-0.401948,-1.641256,-0.531339,-1.868891
116,-0.154377,-1.482672,-0.380992,-0.602567,-0.517982,-1.052065
117,0.11817,-1.356787,-0.672911,-1.295848,-0.723929,-1.601215
118,-1.360331,-2.268492,-0.607934,-0.290331,-0.675148,-0.808286
119,-1.510848,-2.247894,-0.791403,-1.19279,-0.804237,-1.52171
120,-0.783867,-1.996728,-0.093463,-1.297569,-0.300395,-1.595635
121,-0.783362,-2.00256,0.097571,-0.107727,-0.157692,-0.657601
122,-0.780735,-1.799582,-0.911468,-1.455221,-0.916251,-1.706605
123,-1.338905,-2.041537,-0.812793,-1.308502,-0.815143,-1.583354
124,-1.188831,-1.958655,-0.676686,-1.118679,-0.709583,-1.433086
125,-1.398996,-2.03598,-0.493965,-1.893146,-0.563113,-2.045834
126,-0.591039,-1.773602,-0.355459,-1.444348,-0.505791,-1.68484
127,-0.430919,-1.614737,-0.300027,-2.045467,-0.467947,-2.164041
128,-0.526443,-1.632558,-0.317866,-0.78942,-0.477458,-1.170091
129,-0.022036,-1.526049,-0.135776,-1.643325,-0.347722,-1.840365
130,-0.104824,-1.562885,0.13949,-1.728529,-0.140242,-1.925514
131,-0.304401,-1.529311,-0.787968,-1.511316,-0.83686,-1.747172
132,-0.053567,-1.531868,-0.040941,-1.02694,-0.282897,-1.363981
133,-0.022328,-1.37598,-0.066127,-0.160319,-0.292983,-0.692013
134,-0.42221,-1.485074,0.095974,0.189908,-0.182292,-0.415113
135,-0.729632,-1.554995,-0.232964,-1.17742,-0.428942,-1.484922
136,-0.316553,-1.453941,-0.098636,-0.457279,-0.312539,-0.907506
137,0.019825,-1.347037,-0.383765,-1.294072,-0.541469,-1.570044
138,-0.019152,-1.407558,0.038735,-0.997159,-0.249163,-1.331903
139,0.024124,-1.379026,-0.125566,0.513664,-0.35424,-0.126435
140,-0.373445,-1.326974,-0.837545,0.195771,-0.881184,-0.375734
141,-0.510117,-1.421661,-0.197315,-1.491067,-0.383771,-1.702049
142,-0.188441,-1.269841,-0.213261,-1.280701,-0.404101,-1.545521
143,-0.564728,-1.315319,-0.71469,-0.945775,-0.760776,-1.275659
144,-0.491353,-1.259243,-0.523189,-1.049854,-0.647792,-1.359585
145,-0.52421,-1.229782,-0.629143,-0.271237,-0.705818,-0.74194
146,0.087512,-1.054872,-0.42511,-0.80067,-0.383704,-1.117899
147,-0.647941,-1.734649,-0.618552,-1.65873,-0.685585,-1.912724
148,0.406159,-1.443239,0.465081,-0.800599,0.113866,-1.217456
