x,y,z1,z2
0.566217,0.87187,0.97106,0.462302
0.523247,0.289082,0.559728,0.579961
0.685512,0.01857,-0.710975,-0.646886
0.49659,0.439948,0.766923,0.474218
0.765881,0.0916,-0.251591,-0.133942
0.823835,0.372244,-1.721334,-1.769072
0.289021,0.983902,-0.338162,-0.272387
0.46862,0.470665,1.199776,0.995585
0.631815,0.899321,1.042714,-0.291999
0.561563,0.36759,-1.098558,-0.876705
0.450248,0.092988,0.086422,-1.10029
0.095094,0.261143,-0.218857,-0.379774
0.497414,0.670481,-1.08148,-1.023041
0.915938,0.973602,0.8337,0.763157
0.640177,0.687663,0.429645,0.620085
0.395239,0.20827,-0.241045,-0.210694
0.939101,0.173159,1.502354,1.294857
0.438682,0.861845,1.494227,0.968103
0.510811,0.212726,-0.746447,-0.150111
0.224781,0.680003,2.637457,1.170554
0.950958,0.564294,0.650422,-0.043749
0.235035,0.406577,0.219162,0.473981
0.714305,0.683772,-0.54793,0.925842
0.205051,0.227024,0.757452,0.638028
0.743267,0.811658,0.89413,-0.262646
0.856092,0.326436,-0.223757,-0.7304
0.700099,0.651377,1.117087,1.827928
0.623362,0.164004,-0.772149,-0.184732
0.547097,0.542885,0.911771,0.984685
0.126406,0.438605,-1.083583,-0.577974
0.123079,0.628672,-0.95336,-1.025864
0.710155,0.423285,1.450575,1.623216
0.442329,0.529076,-0.715567,-0.095243
0.332403,0.203799,-0.758885,-1.037602
0.81944,0.056947,0.121146,-0.523421
0.395819,0.92401,-1.441373,-1.026358
0.590784,0.640452,-0.53236,-0.911723
0.798352,0.527321,0.37981,0.574167
0.841093,0.383764,-0.079819,-1.205183
0.67541,0.961044,2.630748,1.942781
0.492729,0.934325,0.681289,0.536617
0.996521,0.140108,1.281201,0.995876
0.390784,0.832349,0.940824,0.909938
0.69723,0.838315,-1.229189,-1.987563
0.780194,0.790707,-0.144653,-0.569141
0.499748,0.899229,1.393263,0.289913
0.492164,0.061219,0.394674,0.011407
0.534829,0.481071,1.219525,0.758403
0.101289,0.63769,-1.085307,-1.23269
0.793988,0.700099,-1.173631,-0.451198
0.065568,0.210834,0.57436,0.782424
0.714992,0.595193,-0.587717,0.727028
0.434073,0.012009,0.982114,0.328866
0.737789,0.108324,-0.467021,-0.347481
0.93193,0.786358,1.69777,1.505325
0.158495,0.528908,0.411245,1.092772
0.159289,0.039048,-0.292431,-0.016254
0.709529,0.595834,-1.026442,0.596437
0.801511,0.027939,-0.71786,-0.13724
0.308186,0.543206,0.403789,0.791733
0.805676,0.521035,0.496623,0.95734
0.521828,0.961349,0.253052,1.181591
0.139254,0.281559,-1.593612,-1.395716
0.474418,0.62536,-0.634454,-0.41338
0.255299,0.455268,0.122842,0.986585
0.446876,0.353719,-2.029922,-2.195668
0.359258,0.476371,-0.222044,0.406535
0.424155,0.822217,0.151868,0.470807
0.779217,0.335485,-0.243326,-0.974838
0.221012,0.914626,-0.195393,0.329243
0.248432,0.947463,0.125961,0.245362
0.025681,0.954528,0.94481,0.761736
0.842954,0.100969,-0.684233,-0.727112
0.864607,0.515175,0.436433,-0.695259
0.196612,0.134936,0.79922,0.340132
0.517922,0.205661,-0.371943,-0.074335
0.247395,0.641749,-1.388668,-0.792571
0.923354,0.553292,1.066989,-0.027114
0.387808,0.775662,0.276169,0.103018
0.824414,0.697169,-1.511376,-0.67766
0.75494,0.533761,-1.343671,-0.456751
0.051102,0.451575,-0.56288,-0.789131
0.219577,0.915572,-0.204846,0.266086
0.303197,0.729595,-0.395529,-0.598131
0.883925,0.058396,-0.672652,-1.082533
0.768948,0.381094,-1.251754,-1.05935
0.685527,0.490639,0.188183,0.242133
0.606989,0.229374,1.861391,1.099543
0.850492,0.63827,-0.827326,0.146417
0.437461,0.260105,-0.577343,0.325119
0.748882,0.834974,0.186841,-0.341079
0.939773,0.792538,1.351082,1.316213
0.958556,0.119097,0.336126,0.47446
0.904173,0.264622,-0.283111,-0.902952
0.981064,0.697017,-1.064984,-0.712051
0.323674,0.086305,-1.132888,-1.495533
0.749187,0.601419,0.363098,1.279201
0.981308,0.287007,-0.809661,0.063302
0.350774,0.758923,0.197715,-0.246418
0.759731,0.781811,-0.69361,-0.986472
0.828336,0.83856,0.070235,-0.329458
0.398825,0.683009,0.053825,-0.390849
0.885817,0.389395,-0.246808,-0.763892
0.489876,0.75462,-0.683242,-0.384121
0.516594,0.028656,1.38138,0.487574
0.183139,0.541619,0.561409,1.26536
0.422019,0.119539,0.287145,-0.641412
0.770611,0.878721,-0.201517,-0.577249
0.281559,0.686824,-1.010669,-0.717918
0.526284,0.012085,-0.643431,-0.567248
0.435874,0.530571,-0.275261,0.382729
0.089372,0.911894,0.576533,0.377513
0.752255,0.896193,-1.472762,-1.637577
0.945693,0.483619,-0.922802,-1.455957
0.435355,0.626062,-1.449887,-1.347209
0.360952,0.700832,-0.804454,-1.247694
0.569619,0.790188,0.008174,0.769628
0.04976,0.270161,1.042982,1.260905
0.233509,0.086839,-0.323341,-0.85498
0.035523,0.465736,0.129512,-0.121429
0.046967,0.770916,0.194497,-0.015794
0.883635,0.622614,0.974311,0.408153
0.389471,0.472358,1.408275,1.737311
0.029984,0.584176,-0.820491,-0.82499
0.291432,0.996078,-0.004155,-0.054352
0.218082,0.380407,0.521271,0.212717
0.30985,0.031968,-0.772094,-1.809988
0.16083,0.578607,0.225083,0.515088
0.539757,0.153017,-1.568061,-1.810532
0.4159,0.720516,0.620827,0.588953
0.479225,0.536248,-1.370166,-0.595798
0.771344,0.178775,0.76178,0.421613
0.5841,0.385107,-0.822748,-0.639999
0.751888,0.554162,0.500532,0.793603
0.92105,0.58233,0.666947,-0.024055
0.803128,0.813336,-0.885184,-0.831744
0.398093,0.664897,-1.047641,-0.897102
0.123629,0.075639,0.275311,-0.355954
0.499062,0.147692,-1.550728,-2.337905
0.649577,0.791775,0.764183,-0.444361
0.082139,0.951675,0.876988,0.503137
0.962554,0.182467,1.041909,1.122074
0.101335,0.291508,-0.688099,-0.354046
0.288777,0.150622,-1.221421,-1.771035
0.266331,0.010071,-0.569541,-2.047387
0.092393,0.311635,-0.601656,0.228813
0.376349,0.616907,0.095372,-0.215855
0.89044,0.263828,-0.293903,-0.579996
0.110491,0.318379,-0.019956,-0.343501
0.941543,0.479576,-0.727548,-1.334157
0.106432,0.398459,0.312215,-0.093559
0.743374,0.802945,1.419243,-0.181666
0.095644,0.181613,-1.790334,-1.15043
0.455314,0.681895,-0.694723,-1.017016
0.695735,0.30016,-0.424284,0.456133
0.067155,0.028458,-1.133555,-1.142988
0.37673,0.235019,-0.778142,0.083346
0.642374,0.447105,0.424835,0.093974
0.345251,0.246448,1.084847,0.43066
0.384619,0.61268,-0.342914,-0.346422
0.019577,0.309133,-1.193497,-0.521516
0.003235,0.714137,-0.803448,-0.804102
0.064561,0.376944,-0.054622,0.218369
0.387869,0.7561,1.319476,0.475325
0.319997,0.588128,-0.511212,0.499279
0.981018,0.972534,-0.248528,0.258652
0.131624,0.856367,1.147045,1.378935
0.620401,0.426917,-0.651644,-0.695954
0.192462,0.839384,0.24088,0.890381
0.390433,0.526467,2.477219,2.398638
0.714183,0.773709,-1.008877,-1.784398
0.227771,0.369818,1.084571,0.773023
0.049241,0.188815,0.657708,0.453572
0.335363,0.490608,0.497756,0.828426
0.022416,0.312779,-0.168394,-0.324111
0.819013,0.943999,-0.93979,-1.155943
0.899489,0.531563,0.22403,-0.974038
0.272206,0.30341,1.267319,1.527684
0.167529,0.839155,-0.984554,0.018341
0.622568,0.467796,0.045988,-0.239487
0.133074,0.870954,0.414083,0.618232
0.466621,0.733608,0.378629,0.260166
0.342367,0.455253,0.557224,0.492021
0.646464,0.589944,0.1464,0.891113
0.892134,0.772992,-1.134709,-0.480197
0.854139,0.790661,-1.578553,-1.513932
0.668391,0.464256,-0.341475,-0.184369
0.974197,0.133822,-0.225864,0.206392
0.137331,0.711284,0.980777,0.962505
0.679088,0.062882,0.118232,0.093994
0.702495,0.686152,0.483744,1.132248
0.909148,0.06331,-0.437031,-0.075157
0.461494,0.521736,-1.112212,-0.75269
0.039155,0.958328,-0.092409,0.526931
0.407721,0.96524,-0.400549,-0.052156
0.011139,0.538643,1.018397,0.548535
0.288289,0.889998,1.297014,1.184513
0.543359,0.49929,0.503328,0.476114
0.72932,0.442588,1.883129,1.758056
0.204089,0.57293,1.012255,1.016308
0.914977,0.727672,0.72528,1.485938
0.300374,0.547677,0.524424,0.875877
0.43714,0.048447,2.038708,1.017557
0.815305,0.288579,-0.079714,-0.747412
0.064561,0.825391,0.848247,1.205784
0.885969,0.639551,0.003095,0.311383
0.557473,0.684123,-0.413625,-0.663299
0.38645,0.890913,-0.207027,-0.039689
0.356664,0.28423,0.312379,0.615779
0.197559,0.880491,1.710441,1.148496
0.87631,0.094942,0.53152,-0.877546
0.19234,0.318303,-0.365982,0.169512
0.467262,0.115373,-2.138257,-2.633667
0.171649,0.330266,-0.801704,-0.855339
0.252232,0.377264,1.095696,0.911911
0.19617,0.399145,-0.315752,-0.3781
0.684169,0.328679,0.54195,1.243732
0.055329,0.588647,-0.937665,-1.113585
0.951247,0.422904,-1.257756,-1.704488
0.137804,0.023697,-1.175169,-0.787624
0.864775,0.890837,-0.767291,-1.090313
0.193881,0.313313,0.644677,0.323277
0.756176,0.590768,0.967087,1.468193
0.405173,0.411734,0.347366,0.907968
0.885222,0.219852,0.472663,-0.199913
0.986831,0.423011,-0.789426,-0.681534
0.860792,0.03714,-1.588507,-1.608368
0.133135,0.592828,-1.000444,-0.372154
0.455238,0.962737,-0.356671,-0.204026
0.534264,0.612284,-1.196246,-0.977076
0.305959,0.398947,0.54042,0.258302
0.006058,0.697383,-0.493476,-0.466258
0.256153,0.404456,0.492748,0.702782
0.05774,0.07361,0.192724,-0.35132
0.446799,0.672129,-1.004893,-1.173003
